27,31.2,-18.0,-18.6,-17.3,64,68,20,6.9,41,298,2.4,-4.6,4.5,5.3,4.2,8.0
27,31.3,-18.8,-18.5,-16.9,64,68,21,5.2,39,286,1.1,-3.9,3.3,2.1,1.5,3.8
27,31.3,-19.6,-18.5,-16.0,64,68,22,4.6,-72,48,0.9,1.0,-4.3,3.0,3.0,6.3
27,31.4,-20.3,-18.7,-14.9,64,68,23,4.9,-57,359,2.6,-0.1,-4.1,1.5,1.8,3.2
27,31.4,-20.8,-19.2,-13.5,64,69,0,4.5,35,326,3.1,-2.1,2.6,5.4,3.2,4.6
27,31.4,-21.2,-19.7,-12.0,64,69,1,5.4,29,322,3.7,-2.9,2.6,2.9,2.2,6.9
27,31.4,-21.3,-20.6,-10.3,64,69,2,8.9,30,146,-6.4,4.3,4.5,4.2,2.9,7.3
27,31.3,-21.1,-21.5,-8.7,64,69,3,10.8,0,142,-8.5,6.7,0.0,3.1,2.0,5.1
27,31.3,-20.8,-22.2,-7.3,64,69,4,10.0,-17,131,-6.3,7.3,-2.9,2.8,2.7,4.8
27,31.2,-20.2,-23.1,-6.1,64,69,5,7.3,41,318,4.1,-3.7,4.8,2.6,2.0,3.5
27,31.1,-19.6,-23.7,-5.1,64,69,6,11.5,-38,140,-7.0,5.9,-7.0,2.4,2.2,4.0
27,31.0,-18.9,-24.2,-4.5,64,69,7,6.3,49,293,1.6,-3.8,4.7,3.4,2.2,2.7
27,30.9,-18.4,-24.4,-4.4,64,69,8,10.7,-46,146,-6.2,4.2,-7.6,2.9,1.4,6.2
27,30.7,-17.8,-24.6,-4.5,64,69,9,3.4,-39,150,-2.3,1.3,-2.2,4.0,3.6,5.9
27,30.5,-17.3,-24.6,-5.0,64,69,10,5.1,34,331,3.7,-2.1,2.8,4.1,3.8,4.5
27,30.3,-16.8,-24.6,-5.8,64,69,11,4.7,50,318,2.2,-2.0,3.6,2.5,1.9,4.8
27,30.1,-16.3,-24.4,-7.0,64,69,12,5.9,25,325,4.4,-3.1,2.4,2.5,1.5,2.6
27,29.9,-15.7,-24.2,-8.2,64,69,13,3.9,-22,325,3.0,-2.1,-1.5,2.4,2.9,3.3
27,29.7,-15.1,-23.7,-9.4,64,69,14,6.5,25,311,3.9,-4.4,2.7,1.1,1.8,1.1
27,29.4,-14.5,-23.3,-10.6,64,69,15,6.9,55,296,1.7,-3.6,5.7,0.7,0.8,2.9
27,29.1,-13.9,-22.7,-11.7,64,69,16,5.9,28,313,3.6,-3.9,2.8,0.9,2.0,2.0
27,28.8,-13.6,-22.0,-12.5,64,69,17,7.7,35,309,4.0,-4.8,4.4,1.1,1.1,1.4
27,28.5,-13.4,-21.3,-13.2,64,69,18,5.9,14,315,4.1,-4.1,1.5,2.0,1.7,3.9
27,28.1,-13.4,-20.7,-13.4,64,69,19,5.4,13,317,3.8,-3.6,1.2,1.3,1.4,0.5
27,27.7,-13.6,-20.2,-13.3,64,69,20,9.2,21,311,5.7,-6.4,3.2,1.1,1.0,1.8
27,27.3,-13.9,-19.8,-12.8,64,69,21,8.2,18,316,5.6,-5.4,2.6,0.7,0.9,0.9
